Robots,Duracion,Prueba,Percentil,Distancia,Peligrosidad,Cobertura,%Cobertura
1,10,11,75,571.1269837220809,11.745000000000001,164.0,28.47222222222222
1,10,11,100,997.4011537017761,17.669999999999998,181.0,31.42361111111111
1,10,12,25,297.9898987322333,5.750000000000001,69.0,11.979166666666668
1,10,12,50,837.4011537017761,15.565000000000001,145.0,25.17361111111111
1,10,12,75,647.6955262170047,11.925000000000002,202.0,35.06944444444444
1,10,12,100,546.2741699796952,10.754999999999999,222.0,38.54166666666667
1,10,13,25,374.5584412271571,7.335,81.0,14.0625
1,10,13,50,241.4213562373095,3.885,149.0,25.868055555555557
1,10,13,75,297.9898987322333,5.165,180.0,31.25
1,10,13,100,554.5584412271571,10.964999999999998,199.0,34.54861111111111
1,15,1,25,857.4011537017761,18.090000000000003,173.0,30.03472222222222
1,15,1,50,1167.1067811865476,22.709999999999997,272.0,47.22222222222222
1,15,1,75,1133.9696961967,22.1,328.0,56.94444444444444
1,15,1,100,1133.9696961967,20.89000000000001,332.0,57.638888888888886
1,15,2,25,1262.2539674441618,25.949999999999996,189.0,32.8125
1,15,2,50,1385.0966799187809,26.19,204.0,35.41666666666667
1,15,2,75,1227.1067811865476,27.250000000000004,206.0,35.76388888888889
1,15,2,100,1278.8225099390856,27.600000000000005,207.0,35.9375
1,15,3,25,744.2640687119285,11.71,193.0,33.50694444444444
1,15,3,50,1235.3910524340095,23.760000000000005,298.0,51.736111111111114
1,15,3,75,1423.6753236814714,27.960000000000004,319.0,55.38194444444444
1,15,3,100,1280.2438661763952,24.459999999999997,330.0,57.291666666666664
1,15,4,25,694.5584412271571,10.520000000000003,148.0,25.694444444444443
1,15,4,50,632.5483399593904,10.375,261.0,45.3125
1,15,4,75,639.4112549695428,8.954999999999998,329.0,57.11805555555556
1,15,4,100,1263.6753236814714,25.865,365.0,63.36805555555556
1,15,5,25,862.2539674441618,13.645,145.0,25.17361111111111
1,15,5,50,1010.5382386916237,17.314999999999998,196.0,34.02777777777778
1,15,5,75,772.5483399593904,14.544999999999996,266.0,46.18055555555556
1,15,5,100,829.1168824543142,16.665,269.0,46.70138888888889
1,15,6,25,772.5483399593904,13.185,179.0,31.07638888888889
1,15,6,50,777.4011537017761,13.114999999999998,225.0,39.0625
1,15,6,75,740.8326112068523,13.330000000000004,264.0,45.83333333333333
1,15,6,100,839.4112549695428,16.330000000000002,280.0,48.61111111111111
1,15,7,25,434.5584412271571,6.890000000000001,117.0,20.3125
1,15,7,50,793.9696961966999,11.57,188.0,32.63888888888889
1,15,7,75,1162.2539674441618,23.709999999999997,254.0,44.09722222222222
1,15,7,100,1178.8225099390856,21.650000000000002,280.0,48.61111111111111
1,15,8,25,326.2741699796952,5.23,47.0,8.159722222222223
1,15,8,50,1531.9595949289333,29.794999999999995,185.0,32.11805555555556
1,15,8,75,1331.9595949289333,25.634999999999994,215.0,37.32638888888889
1,15,8,100,1405.0966799187809,27.805,224.0,38.88888888888889
1,15,9,25,48.2842712474619,0.705,6.0,1.0416666666666665
1,15,9,50,1070.5382386916237,21.384999999999998,161.0,27.95138888888889
1,15,9,75,1315.3910524340095,26.165000000000006,181.0,31.42361111111111
1,15,9,100,1138.8225099390856,19.775000000000002,197.0,34.20138888888889
1,15,10,25,474.5584412271571,7.030000000000001,93.0,16.145833333333336
1,15,10,50,531.1269837220809,7.7,109.0,18.92361111111111
1,15,10,75,462.842712474619,7.540000000000001,231.0,40.10416666666667
1,15,10,100,479.4112549695428,8.4,262.0,45.48611111111111
1,15,11,25,233.1370849898476,3.46,99.0,17.1875
1,15,11,50,499.4112549695428,9.020000000000001,145.0,25.17361111111111
1,15,11,75,977.4011537017761,17.410000000000004,232.0,40.27777777777778
1,15,11,100,1073.9696961967,21.055000000000007,262.0,45.48611111111111
1,15,12,25,989.1168824543142,19.715,149.0,25.868055555555557
1,15,12,50,1022.2539674441618,19.894999999999996,193.0,33.50694444444444
1,15,12,75,1203.6753236814714,22.915000000000006,294.0,51.041666666666664
1,15,12,100,982.2539674441618,18.174999999999997,332.0,57.638888888888886
