Robots,Duracion,Percentil,Metrica,Promedio,DesvEst,Varianza
2,5,25,Peligrosidad,6.235384615384615,3.166355332198771,10.025806089743588
2,5,25,Cobertura,84.38461538461539,44.036989114338986,1939.2564102564102
2,5,25,%Cobertura,14.650106837606838,7.645310610128297,58.450774325340305
2,5,50,Distancia,685.3199017904135,244.43425385470326,59748.10445750551
2,5,50,Peligrosidad,11.678461538461539,5.12087735997431,26.223384935897457
2,5,50,Cobertura,181.15384615384616,41.287298599460655,1704.6410256410256
2,5,50,%Cobertura,31.450320512820515,7.167933784628587,51.37927474081989
2,5,75,Distancia,831.1832605320183,284.8685113901596,81150.06878164549
2,5,75,Peligrosidad,15.507692307692306,6.191207682197596,38.33105256410253
2,5,75,Cobertura,238.23076923076923,55.64343903545419,3096.1923076923076
2,5,75,%Cobertura,41.359508547008545,9.660319276988576,93.32176853335709
2,5,100,Distancia,854.7881001481838,246.81453143766885,60917.412928796024
2,5,100,Peligrosidad,17.113076923076925,5.756290594667404,33.13488141025641
2,5,100,Cobertura,268.84615384615387,58.33501829068333,3402.974358974359
2,5,100,%Cobertura,46.67467948717949,10.127607342132523,102.56843047641658
2,10,25,Distancia,581.3682979520692,447.2195774472277,200005.3504520769
2,10,25,Peligrosidad,10.129615384615386,8.743823406062722,76.4544477564103
2,10,25,Cobertura,140.76923076923077,74.45709485575551,5543.858974358975
2,10,25,%Cobertura,24.439102564102566,12.92657896801311,167.09644381627888
2,10,50,Distancia,862.7443661101128,346.0458965835019,119747.76254227966
2,10,50,Peligrosidad,15.909615384615385,6.852687569346566,46.959326923076944
2,10,50,Cobertura,242.15384615384616,75.89559292634208,5760.141025641025
2,10,50,%Cobertura,42.04059829059829,13.176318216378833,173.6153617392767
2,10,75,Distancia,930.3008095646227,375.1960801602557,140772.098567621
2,10,75,Peligrosidad,17.267692307692307,8.110305588001554,65.77705673076923
2,10,75,Cobertura,303.61538461538464,82.83169528380874,6861.089743589744
2,10,75,%Cobertura,52.71100427350427,14.380502653439018,206.79885656556664
2,10,100,Distancia,940.8513701434981,305.51275246898604,93338.04192117594
2,10,100,Peligrosidad,17.279615384615386,6.583768380626981,43.34600608974362
2,10,100,Cobertura,346.84615384615387,80.07064188769623,6411.307692307692
2,10,100,%Cobertura,60.21634615384615,13.901153105502816,193.24205766263057
2,15,25,Distancia,800.4593178420535,283.302719747933,80260.43101657587
2,15,25,Peligrosidad,14.240769230769232,5.411044587290059,29.27940352564104
2,15,25,Cobertura,203.84615384615384,61.585775080839014,3792.807692307692
2,15,25,%Cobertura,35.38995726495727,10.691974840423441,114.31832598824788
2,15,50,Distancia,904.1469634107765,181.72116714379823,33022.58258810425
2,15,50,Peligrosidad,16.182692307692307,4.606973706324928,21.22420673076925
2,15,50,Cobertura,293.2307692307692,41.36857471993656,1711.3589743589744
2,15,50,%Cobertura,50.90811965811966,7.182044222211208,51.58175920979739
2,15,75,Distancia,1060.5608827312567,177.18567591165547,31394.7637482702
2,15,75,Peligrosidad,18.87423076923077,4.532268492963285,20.54145769230768
2,15,75,Cobertura,339.0769230769231,41.60220654897514,1730.7435897435898
2,15,75,%Cobertura,58.86752136752137,7.222605303641517,52.16602737219057
2,15,100,Distancia,1139.1317562879728,212.03350694357857,44958.208066792584
2,15,100,Peligrosidad,22.23923076923077,5.12278035110242,26.24287852564103
2,15,100,Cobertura,376.38461538461536,54.9204552990633,3016.25641025641
2,15,100,%Cobertura,65.34455128205128,9.53480126719849,90.91243520496995
3,5,25,Distancia,569.6525691995311,196.07152328464196,38444.04224315989
3,5,25,Peligrosidad,9.18423076923077,3.79857256421949,14.429153525641029
3,5,25,Cobertura,135.84615384615384,55.02551855555468,3027.8076923076924
3,5,25,%Cobertura,23.58440170940171,9.55304141589491,91.26060029380344
3,5,50,Distancia,617.0809186222175,247.4450387789864,61229.04721633409
3,5,50,Peligrosidad,10.87076923076923,5.511512514029857,30.376770192307706
3,5,50,Cobertura,220.0,84.3158743456217,7109.166666666667
3,5,50,%Cobertura,38.19444444444444,14.638172629448212,214.27609792952677
3,5,75,Distancia,696.4624259244432,272.71187694605595,74371.76782744075
3,5,75,Peligrosidad,12.502307692307694,5.1365956687384475,26.38461506410258
3,5,75,Cobertura,265.46153846153845,95.88849025875089,9194.602564102564
3,5,75,%Cobertura,46.08707264957265,16.647307336588696,277.13284155883986
3,5,100,Distancia,809.4261288032014,361.04217199534304,130351.44995911488
3,5,100,Peligrosidad,14.046153846153848,7.362585923054413,54.207671474358996
3,5,100,Cobertura,298.38461538461536,105.54820262289206,11140.423076923078
3,5,100,%Cobertura,51.80288461538461,18.324340733140982,335.78146330424977
3,10,25,Distancia,615.1691637189571,165.1814341731711,27284.906195505657
3,10,25,Peligrosidad,10.900384615384615,3.584064534818478,12.845518589743595
3,10,25,Cobertura,199.07692307692307,48.589198968600584,2360.9102564102564
3,10,25,%Cobertura,34.56196581196581,8.435624820937601,71.15976611961854
3,10,50,Distancia,833.1403035145446,171.02803038274055,29250.587176599627
3,10,50,Peligrosidad,15.706923076923077,4.74151282928312,22.481943910256415
3,10,50,Cobertura,299.2307692307692,49.29698071578327,2430.1923076923076
3,10,50,%Cobertura,51.949786324786324,8.558503596490151,73.24798381113486
3,10,75,Distancia,914.0149842759658,208.88592846672486,43633.3311114057
3,10,75,Peligrosidad,16.787307692307692,5.419515128751762,29.37114423076923
3,10,75,Cobertura,356.9230769230769,61.44979188798708,3776.076923076923
3,10,75,%Cobertura,61.965811965811966,10.66836664721998,113.81404691951566
3,10,100,Distancia,937.774447066575,239.49154103191165,57356.19822583983
3,10,100,Peligrosidad,17.926538461538463,5.918314929315953,35.026451602564094
3,10,100,Cobertura,393.0769230769231,61.704215872258324,3807.4102564102564
3,10,100,%Cobertura,68.24252136752136,10.712537477822625,114.75845921375435
3,15,25,Distancia,774.086801497852,338.9391033451344,114879.7157764037
3,15,25,Peligrosidad,14.83346153846154,7.675731068497478,58.91684743589744
3,15,25,Cobertura,254.30769230769232,77.03504031216856,5934.397435897436
3,15,25,%Cobertura,44.15064102564103,13.374138943084821,178.867592468938
3,15,50,Distancia,970.8287261038652,248.1340368000495,61570.50021868832
3,15,50,Peligrosidad,18.743076923076924,5.35061076671842,28.629035576923076
3,15,50,Cobertura,361.0769230769231,68.50603566896075,4693.076923076923
3,15,50,%Cobertura,62.68696581196581,11.893408970305684,141.45317693494772
3,15,75,Distancia,1055.8361630206944,284.8335917241161,81130.17497446047
3,15,75,Peligrosidad,19.937307692307694,6.1237548446550285,37.50037339743593
3,15,75,Cobertura,417.38461538461536,65.2067717106366,4251.923076923077
3,15,75,%Cobertura,72.46260683760684,11.320620088652186,128.1564391915954
3,15,100,Distancia,1099.8330549383047,243.9768122633074,59524.68492216515
3,15,100,Peligrosidad,20.449615384615385,5.6817197592874065,32.28193942307695
3,15,100,Cobertura,450.3076923076923,61.70411198532425,3807.397435897436
3,15,100,%Cobertura,78.17841880341881,10.712519441896573,114.75807279301205
